Name;Group;Indication
"potassium citrate;potassium hydrogen carbonate";Mineral supplements;Sibnayal is indicated for the treatment of distal renal tubular acidosis (dRTA) in adults, adolescents and children aged one year and older.
eliglustat;Other alimentary tract and metabolism products;"AdultsCerdelga is indicated for the long-term treatment of adult patients with Gaucher disease type 1 (GD1), who are CYP2D6 poor metabolisers (PMs), intermediate metabolisers (IMs) or extensive metabolisers (EMs).Paediatric population (from 6 to &lt; 18 years of age) weighing ≥ 15 kgCerdelga is indicated for paediatric patients with GD1 who are 6 years and older with a minimum body weight of 15 kg, who are stable on enzyme replacement therapy (ERT), and who are CYP2D6 PMs, IMs or EMs.&nbsp;"
levetiracetam;Antiepileptics;"Matever is indicated as monotherapy in the treatment of partial-onset seizures with or without secondary generalisation in patients from 16 years of age with newly diagnosed epilepsy. Matever is indicated as adjunctive therapy:  in the treatment of partial-onset seizures with or without secondary generalisation in adults, children and infants from one month of age with epilepsy; in the treatment of myoclonic seizures in adults and adolescents from 12 years of age with juvenile myoclonic epilepsy; in the treatment of primary generalised tonic-clonic seizures in adults and adolescents from 12 years of age with idiopathic generalised epilepsy."
fingolimod;"Immunosuppressants;Selective immunosuppressants";Indicated as single disease modifying therapy in highly active relapsing remitting multiple sclerosis for the following groups of adult patients and paediatric patients aged 10 years and older: Patients with highly active disease despite a full and adequate course of treatment with at least one disease modifying therapy or Patients with rapidly evolving severe relapsing remitting multiple sclerosis defined by 2 or more disabling relapses in one year, and with 1 or more Gadolinium enhancing lesions on brain MRI or a significant increase in T2 lesion load as compared to a previous recent MRI.
human normal immunoglobulin;Immune sera and immunoglobulins;"Replacement therapy in adults, children and adolescents (0 to 18 years) in:&nbsp;- Primary immunodeficiency syndromes (PID) with impaired antibody production.&nbsp;&nbsp;- Secondary immunodeficiencies (SID) in patients who suffer from severe or recurrent infections, ineffective antimicrobial treatment and either proven specific antibody failure (PSAF)* or serum IgG level of &lt; 4 g/L.*PSAF = failure to mount at least a 2-fold rise in IgG antibody titre to pneumococcal polysaccharide and polypeptide antigen vaccinesImmunomodulation in adults, children and adolescents (0 to 18 years) in:&nbsp;- Primary immune thrombocytopenia (ITP), in patients at high risk of bleeding or prior to surgery to correct the platelet count.&nbsp;- Guillain Barré syndrome.&nbsp;- Kawasaki disease (in conjunction with acetylsalicylic acid; see section 4.2).&nbsp;- Chronic inflammatory demyelinating polyradiculoneuropathy (CIDP).&nbsp;- Multifocal Motor Neuropathy (MMN)."
nitric oxide;Other respiratory system products;"INOmax, in conjunction with ventilatory support and other appropriate active substances, is indicated:  for the treatment of newborn infants ?34 weeks gestation with hypoxic respiratory failure associated with clinical or echocardiographic evidence of pulmonary hypertension, in order to improve oxygenation and to reduce the need for extracorporeal membrane oxygenation; as part of the treatment of peri- and post-operative pulmonary hypertension in adults and newborn infants, infants and toddlers, children and adolescents, ages 0-17 years in conjunction to heart surgery, in order to selectively decrease pulmonary arterial pressure and improve right ventricular function and oxygenation."
riluzole;Other nervous system drugs;Riluzole Zentiva is indicated to extend life or the time to mechanical ventilation for patients with amyotrophic lateral sclerosis (ALS). Clinical trials have demonstrated that Riluzole Zentiva extends survival for patients with ALS. Survival was defined as patients who were alive, not intubated for mechanical ventilation and tracheotomy-free. There is no evidence that Riluzole Zentiva exerts a therapeutic effect on motor function, lung function, fasciculations, muscle strength and motor symptoms. Riluzole Zentiva has not been shown to be effective in the late stages of ALS. Safety and efficacy of Riluzole Zentiva has only been studied in ALS. Therefore, Riluzole Zentiva should not be used in patients with any other form of motor-neurone disease.
everolimus;Antineoplastic agents;Hormone-receptor-positive advanced breast cancer Afinitor is indicated for the treatment of hormone-receptor-positive, HER2/neu-negative advanced breast cancer, in combination with exemestane, in post-menopausal women without symptomatic visceral disease after recurrence or progression following a non-steroidal aromatase inhibitor. Neuroendocrine tumours of pancreatic origin Afinitor is indicated for the treatment of unresectable or metastatic, well or moderately differentiated neuroendocrine tumours of pancreatic origin in adults with progressive disease. Neuroendocrine tumours of gastrointestinal or lung origin Afinitor is indicated for the treatment of unresectable or metastatic, well-differentiated (Grade 1 or Grade 2) non-functional neuroendocrine tumours of gastrointestinal or lung origin in adults with progressive disease. Renal-cell carcinoma Afinitor is indicated for the treatment of patients with advanced renal-cell carcinoma, whose disease has progressed on or after treatment with VEGF-targeted therapy.
dimethyl fumarate;Immunosuppressants;Dimethyl fumarate Mylan is indicated for the treatment of adult and paediatric patients aged 13 years and older with relapsing remitting multiple sclerosis (RRMS).
fulvestrant;"Endocrine therapy;Anti-estrogens";Faslodex is indicated  as monotherapy for the treatment of estrogen receptor positive, locally advanced or metastatic breast cancer in postmenopausal women:  not previously treated with endocrine therapy, or with disease relapse on or after adjuvant antiestrogen therapy, or disease progression on antiestrogen therapy.   in combination with palbociclib for the treatment of hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer in women who have received prior endocrine therapy.  In pre- or perimenopausal women, the combination treatment with palbociclib should be combined with a luteinizing hormone releasing hormone (LHRH) agonist.
inebilizumab;Immunosuppressants;Uplizna is indicated as monotherapy for the treatment of adult patients with neuromyelitis optica spectrum disorders (NMOSD) who are anti-aquaporin 4 immunoglobulin G (AQP4-IgG) seropositive (see section 5.1).
raltegravir;Antivirals for systemic use;Isentress is indicated in combination with other anti-retroviral medicinal products for the treatment of human immunodeficiency virus (HIV 1) infection.
ebola vaccine (Ad26.ZEBOV-GP [recombinant]);Vaccines;Active immunization for prevention of disease caused by Ebola virus (Zaire ebolavirus species) in individuals ? 1 year of age.
Ebola vaccine (MVA-BN-Filo [recombinant]);Vaccines;Active immunization for prevention of disease caused by Ebola virus (Zaire Ebolavirus species) in individuals ? 1 year of age.
clopidogrel;Antithrombotic agents;Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:  Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.
clopidogrel;Antithrombotic agents;Prevention Secondary prevention of atherothrombotic events Clopidogrel is indicated in:  Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease. Adult patients suffering from acute coronary syndrome:  - Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA). - ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.  Prevention of atherothrombotic and thromboembolic events in atrial fibrillation:  - In adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.
tobramycin;Antibacterials for systemic use;Tobi Podhaler is indicated for the suppressive therapy of chronic pulmonary infection due to Pseudomonas aeruginosa in adults and children aged 6 years and older with cystic fibrosis. See sections 4.4 and 5.1 regarding data in different age groups. Consideration should be given to official guidance on the appropriate use of antibacterial agents.
clopidogrel;;Secondary prevention of atherothrombotic events Clopidogrel is indicated in:  Adult patients suffering from myocardial infarction (from a few days until less than 35days), ischaemic stroke (from 7days until less than 6months) or established peripheral arterial disease. Adult patients suffering from acute coronary syndrome: Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA). ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.  Prevention of atherothrombotic and thromboembolic events in atrial fibrillation In adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.
clopidogrel;Antithrombotic agents;Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:  Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.
everolimus;Antineoplastic agents;Renal angiomyolipoma associated with tuberous sclerosis complex (TSC) Votubia is indicated for the treatment of adult patients with renal angiomyolipoma associated with tuberous sclerosis complex (TSC) who are at risk of complications (based on factors such as tumour size or presence of aneurysm, or presence of multiple or bilateral tumours) but who do not require immediate surgery. The evidence is based on analysis of change in sum of angiomyolipoma volume. Subependymal giant cell astrocytoma (SEGA) associated with tuberous sclerosis complex (TSC) Votubia is indicated for the treatment of patients with subependymal giant cell astrocytoma (SEGA) associated with tuberous sclerosis complex (TSC) who require therapeutic intervention but are not amenable to surgery. The evidence is based on analysis of change in SEGA volume. Further clinical benefit, such as improvement in disease?related symptoms, has not been demonstrated.
"telmisartan;hydrochlorothiazide";"Agents acting on the renin-angiotensin system;Angiotensin II antagonists and diuretics";Treatment of essential hypertension. Actelsar HCT fixed-dose combination (40 mg telmisartan / 12.5 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on telmisartan alone. Actelsar HCT fixed-dose combination (80 mg telmisartan / 12.5 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on telmisartan alone. Actelsar HCT fixed-dose combination (80 mg telmisartan / 25 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on Actelsar HCT 80 mg / 12.5 mg (80 mg telmisartan / 12.5 mg hydrochlorothiazide) or adults who have been previously stabilised on telmisartan and hydrochlorothiazide given separately.
sodium oxybate;Other nervous system drugs;Treatment of narcolepsy with cataplexy in adult patients.
olanzapine;Psycholeptics;Adults Olanzapine is indicated for the treatment of schizophrenia. Olanzapine is effective in maintaining the clinical improvement during continuation therapy in patients who have shown an initial treatment response. Olanzapine is indicated for the treatment of moderate to severe manic episode. In patients whose manic episode has responded to olanzapine treatment, olanzapine is indicated for the prevention of recurrence in patients with bipolar disorder.
pomalidomide;Immunosuppressants;Treatment of adults with multiple myeloma who have received at least one prior treatment regimen including lenalidomide. Pomalidomide Zentiva in combination with dexamethasone is indicated in the treatment of adult patients with relapsed and refractory multiple myeloma who have received at least two prior treatment regimens, including both lenalidomide and bortezomib, and have demonstrated disease progression on the last therapy.
ranibizumab;Ophthalmologicals;Lucentis is indicated in adults for:  The treatment of neovascular (wet) age-related macular degeneration (AMD) The treatment of visual impairment due to choroidal neovascularisation (CNV) The treatment of visual impairment due to diabetic macular oedema (DME) The treatment of visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO)
enalapril maleate;Agents acting on the renin-angiotensin system;Treatment of heart failure.
fedratinib;Antineoplastic agents;Inrebic is indicated for the treatment of disease-related splenomegaly or symptoms in adult patients with primary myelofibrosis, post polycythaemia vera myelofibrosis or post essential thrombocythaemia myelofibrosis who are Janus Associated Kinase (JAK) inhibitor naïve or have been treated with ruxolitinib.
methylphenidate hydrochloride;Psychoanaleptics;Tuzulby is indicated as part of a comprehensive treatment programme for attention-deficit / hyperactivity disorder (ADHD) in children and adolescents 6-17 years old when remedial measures alone prove insufficient. Treatment must be under the supervision of a specialist in childhood behavioural disorders. Diagnosis should be made according to Diagnostic and Statistical Manual of Mental Disorders Fourth Edition (DSM-IV) criteria or the guidelines in International Classification of Diseases, Tenth Revision (ICD-10) and should be based on a complete history and evaluation of the patient. Diagnosis cannot be made solely on the presence of one or more symptoms.
rotigotine;Anti-Parkinson drugs;Parkinson's disease: Neupro is indicated for the treatment of the signs and symptoms of early-stage idiopathic Parkinson's disease as monotherapy (i.e. without levodopa) or in combination with levodopa, i.e. over the course of the disease, through to late stages when the effect of levodopa wears off or becomes inconsistent and fluctuations of the therapeutic effect occur (end of dose or 'on-off' fluctuations). Restless-legs syndrome: Neupro is indicated for the symptomatic treatment of moderate to severe idiopathic restless-legs syndrome in adults.
givosiran;Various alimentary tract and metabolism products;Treatment of acute hepatic porphyria (AHP) in adults and adolescents aged 12 years and older.
lacosamide;Antiepileptics;Vimpat is indicated as monotherapy and adjunctive therapy in the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy.
tacrolimus;Immunosuppressants;Prophylaxis of transplant rejection in adult kidney or liver allograft recipients. Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients.
"linagliptin;metformin hydrochloride";Drugs used in diabetes;Treatment of adult patients with type-2 diabetes mellitus:  Jentadueto is indicated as an adjunct to diet and exercise to improve glycaemic control in adult patients inadequately controlled on their maximal tolerated dose of metformin alone, or those already being treated with the combination of linagliptin and metformin. Jentadueto is indicated in combination with a sulphonylurea (i.e. triple combination therapy) as an adjunct to diet and exercise in adult patients inadequately controlled on their maximal tolerated dose of metformin and a sulphonylurea.
opicapone;Anti-Parkinson drugs;Ongentys is indicated as adjunctive therapy to preparations of levodopa/ DOPA decarboxylase inhibitors (DDCI) in adult patients with Parkinson’s disease and end-of-dose motor fluctuations who cannot be stabilised on those combinations.Ongentys is indicated as adjunctive therapy to preparations of levodopa/ DOPA decarboxylase inhibitors (DDCI) in adult patients with Parkinson’s disease and end-of-dose motor fluctuations who cannot be stabilised on those combinations.
"elbasvir;grazoprevir";"Direct acting antivirals;Antivirals for systemic use;Antivirals for treatment of HCV infections";ZEPATIER is indicated for the treatment of chronic hepatitis C (CHC) in adult and paediatric patients 12 years of age and older who weigh at least 30 kg (see sections 4.2, 4.4 and 5.1). For hepatitis C virus (HCV) genotype-specific activity see sections 4.4 and 5.1.
fruquintinib;Antineoplastic agents;Fruzaqla as monotherapy is indicated for the treatment of adult patients with metastatic colorectal cancer (mCRC) who have been previously treated with available standard therapies, including fluoropyrimidine-, oxaliplatin-, and irinotecan based chemotherapies, anti VEGF agents, and anti EGFR agents, and who have progressed on or are intolerant to treatment with either trifluridine tipiracil or regorafenib.
romosozumab;Drugs for treatment of bone diseases;Evenity is indicated in treatment of severe osteoporosis in postmenopausal women at high risk of fracture.
futibatinib;antineoplastic agents;Lytgobi monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or rearrangement that have progressed after at least one prior line of systemic therapy.
gefitinib;Antineoplastic agents;Iressa is indicated for the treatment of adult patients with locally advanced or metastatic non-small-cell lung cancer with activating mutations of epidermal-growth-factor-receptor tyrosine kinase.
silodosin;Urologicals;Treatment of the signs and symptoms of benign prostatic hyperplasia (BPH).
gemtuzumab ozogamicin;Antineoplastic agents;Mylotarg is indicated for combination therapy with daunorubicin (DNR) and cytarabine (AraC) for the treatment of patients age 15 years and above with previously untreated, de novo CD33-positive acute myeloid leukaemia (AML), except acute promyelocytic leukaemia (APL).
valoctocogene roxaparvovec;Antihemorrhagics;Treatment of severe haemophilia A (congenital factor VIII deficiency) in adult patients without a history of factor VIII inhibitors and without detectable antibodies to adeno-associated virus serotype 5 (AAV5).
tocilizumab;Immunosuppressants;"RoActemra, in combination with methotrexate (MTX), is indicated for  the treatment of severe, active and progressive rheumatoid arthritis (RA) in adults not previously treated with MTX. the treatment of moderate to severe active RA in adult patients who have either responded inadequately to, or who were intolerant to, previous therapy with one or more disease-modifying anti-rheumatic drugs (DMARDs) or tumour necrosis factor (TNF) antagonists. 	In these patients, RoActemra can be given as monotherapy in case of intolerance to MTX or where continued treatment with MTX is inappropriate. 	RoActemra has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical function when given in combination with methotrexate.  RoActemra is indicated for the treatment of active systemic juvenile idiopathic arthritis (sJIA) in patients 1 year of age and older, who have responded inadequately to previous therapy with NSAIDs and systemic corticosteroids. RoActemra can be given as monotherapy (in case of intolerance to MTX or where treatment with MTX is inappropriate) or in combination with MTX. RoActemra in combination with methotrexate (MTX) is indicated for the treatment of juvenile idiopathic polyarthritis (pJIA; rheumatoid factor positive or negative and extended oligoarthritis) in patients 2 years of age and older, who have responded inadequately to previous therapy with MTX.&nbsp; RoActemra can be given as monotherapy in case of intolerance to MTX or where continued treatment with MTX is inappropriate. RoActemra is indicated for the treatment of Giant Cell Arteritis (GCA) in adult patients. RoActemra, in combination with methotrexate (MTX), is indicated for:  the treatment of severe, active and progressive rheumatoid arthritis (RA) in adults not previously treated with MTX. the treatment of moderate to severe active RA in adult patients who have either responded inadequately to, or who were intolerant to, previous therapy with one or more disease-modifying anti-rheumatic drugs (DMARDs) or tumour necrosis factor (TNF) antagonists. 	In these patients, RoActemra can be given as monotherapy in case of intolerance to MTX or where continued treatment with MTX is inappropriate.&nbsp; 	RoActemra has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical function when given in combination with methotrexate.  RoActemra is indicated for the treatment of coronavirus disease 2019 (COVID-19) in adults who are receiving systemic corticosteroids and require supplemental oxygen or mechanical ventilation. RoActemra is indicated for the treatment of active systemic juvenile idiopathic arthritis (sJIA) in patients 2 years of age and older, who have responded inadequately to previous therapy with NSAIDs and systemic corticosteroids. RoActemra can be given as monotherapy (in case of intolerance to MTX or where treatment with MTX is inappropriate) or in combination with MTX. RoActemra in combination with methotrexate (MTX) is indicated for the treatment of juvenile idiopathic polyarthritis (pJIA; rheumatoid factor positive or negative and extended oligoarthritis) in patients 2 years of age and older, who have responded inadequately to previous therapy with MTX. RoActemra can be given as monotherapy in case of intolerance to MTX or where continued treatment with MTX is inappropriate. RoActemra is indicated for the treatment of chimeric antigen receptor (CAR) T cell-induced severe or life-threatening cytokine release syndrome (CRS) in adults and paediatric patients 2 years of age and older. RoActemra, in combination with methotrexate (MTX), is indicated for:  the treatment of severe, active and progressive rheumatoid arthritis (RA) in adults not previously treated with MTX. the treatment of moderate to severe active RA in adult patients who have either responded inadequately to, or who were intolerant to, previous therapy with one or more disease-modifying anti-rheumatic drugs (DMARDs) or tumour necrosis factor (TNF) antagonists. 	In these patients, RoActemra can be given as monotherapy in case of intolerance to MTX or where continued treatment with MTX is inappropriate.&nbsp; 	RoActemra has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical function when given in combination with methotrexate.  RoActemra is indicated for the treatment of coronavirus disease 2019 (COVID-19) in adults who are receiving systemic corticosteroids and require supplemental oxygen or mechanical ventilation. RoActemra is indicated for the treatment of active systemic juvenile idiopathic arthritis (sJIA) in patients 2 years of age and older, who have responded inadequately to previous therapy with NSAIDs and systemic corticosteroids. RoActemra can be given as monotherapy (in case of intolerance to MTX or where treatment with MTX is inappropriate) or in combination with MTX. RoActemra in combination with methotrexate (MTX) is indicated for the treatment of juvenile idiopathic polyarthritis (pJIA; rheumatoid factor positive or negative and extended oligoarthritis) in patients 2 years of age and older, who have responded inadequately to previous therapy with MTX. RoActemra can be given as monotherapy in case of intolerance to MTX or where continued treatment with MTX is inappropriate. RoActemra is indicated for the treatment of chimeric antigen receptor (CAR) T cell-induced severe or life-threatening cytokine release syndrome (CRS) in adults and paediatric patients 2 years of age and older."
cladribine;Immunosuppressants;Treatment of adult patients with highly active relapsing multiple sclerosis (MS) as defined by clinical or imaging features.
"sitagliptin;metformin hydrochloride";Drugs used in diabetes;For adult patients with type 2 diabetes mellitus: Sitagliptin/Metformin hydrochloride SUN is indicated as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximal tolerated dose of metformin alone or those already being treated with the combination of sitagliptin and metformin. Sitagliptin/Metformin hydrochloride SUN is indicated in combination with a sulphonylurea (i.e., triple combination therapy) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a sulphonylurea. Sitagliptin/Metformin hydrochloride SUN is indicated as triple combination therapy with a peroxisome proliferator-activated receptor gamma (PPAR?) agonist (i.e., a thiazolidinedione) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a PPAR? agonist. Sitagliptin/Metformin hydrochloride SUN is also indicated as add-on to insulin (i.e., triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in patients when stable dose of insulin and metformin alone do not provide adequate glycaemic control.
"fluticasone furoate;umeclidinium;vilanterol";Drugs for obstructive airway diseases;Elebrato Ellipta is indicated as a maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (COPD) who are not adequately treated by a combination of an inhaled corticosteroid and a long-acting ?2-agonist.
gilteritinib;Antineoplastic agents;Xospata is indicated as monotherapy for the treatment of adult patients who have relapsed or refractory acute myeloid leukaemia (AML) with a FLT3 mutation.
posaconazole;Antimycotics for systemic use;"Posaconazole Accord is indicated for use in the treatment of the following fungal infections in adults:  Invasive aspergillosis; Fusariosis in patients with disease that is refractory to amphotericin B or in patients who are intolerant of amphotericin B; Chromoblastomycosis and mycetoma in patients with disease that is refractory to itraconazole or in patients who are intolerant of itraconazole; Coccidioidomycosis in patients with disease that is refractory to amphotericin B, itraconazole or fluconazole or in patients who are intolerant of these medicinal products.  Refractoriness is defined as progression of infection or failure to improve after a minimum of 7 days of prior therapeutic doses of effective antifungal therapy. Posaconazole Accord is also indicated for prophylaxis of invasive fungal infections in the following patients:&nbsp;  Patients receiving remission-induction chemotherapy for acute myelogenous leukemia (AML) or myelodysplastic syndromes (MDS) expected to result in prolonged neutropenia and who are at high risk of developing invasive fungal infections; Hematopoietic stem cell transplant (HSCT) recipients who are undergoing high-dose immunosuppressive therapy for graft versus host disease and who are at high risk of developing invasive fungal infections."
imatinib;imatinib;"Imatinib Accord is indicated for the treatment of  adult and paediatric patients with newly diagnosed Philadelphia chromosome (bcr-abl) positive (Ph+) chronic myeloid leukaemia (CML) for whom bone marrow transplantation is not considered as the first line of treatment. adult and paediatric patients with Ph+ CML in chronic phase after failure of interferon-alpha therapy, or in accelerated phase or blast crisis.&nbsp; adult and paediatric patients with newly diagnosed Philadelphia chromosome positive acute lymphoblastic leukaemia (Ph+ ALL) integrated with chemotherapy.&nbsp; adult patients with relapsed or refractory Ph+ ALL as monotherapy.&nbsp; adult patients with myelodysplastic/myeloproliferative diseases (MDS/MPD) associated with platelet-derived growth factor receptor (PDGFR) gene re-arrangements.&nbsp; adult patients with advanced hypereosinophilic syndrome (HES) and/or chronic eosinophilic leukaemia (CEL) with FIP1L1-PDGFR? rearrangement.&nbsp; adult patients with unresectable dermatofibrosarcoma protuberans (DFSP) and adult patients with recurrent and/or metastatic DFSP who are not eligible for surgery. the treatment of adult patients with Kit (CD 117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumours (GIST).&nbsp; the adjuvant treatment of adult patients who are at significant risk of relapse following resection of Kit (CD117)-positive GIST.&nbsp;  Patients who have a low or very low risk of recurrence should not receive adjuvant treatment The effect of imatinib on the outcome of bone marrow transplantation has not been determined. In adult and paediatric patients, the effectiveness of imatinib is based on overall haematological and cytogenetic response rates and progression-free survival in CML, on haematological and cytogenetic response rates in Ph+ ALL, MDS/MPD, on haematological response rates in HES/CEL and on objective response rates in adult patients with unresectable and/or metastatic DFSP. The experience with imatinib in patients with MDS/MPD associated with PDGFR gene re-arrangements is very limited (see section 5.1). Except in newly diagnosed chronic phase CML, there are no controlled trials demonstrating a clinical benefit or increased survival for these diseases."
abiraterone;Endocrine therapy;Abiraterone Accord is indicated with prednisone or prednisolone for:  the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT) the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel based chemotherapy regimen.
glasdegib;Antineoplastic agents;Daurismo is indicated, in combination with low-dose cytarabine, for the treatment of newly diagnosed de novo or secondary acute myeloid leukaemia (AML) in adult patients who are not candidates for standard induction chemotherapy.
"fluticasone furoate;umeclidinium;vilanterol";Drugs for obstructive airway diseases;Trelegy Ellipta is indicated as a maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (COPD) who are not adequately treated by a combination of an inhaled corticosteroid and a long-acting ?2-agonist.
ketoconazole;Antimycotics for systemic use;Ketoconazole Esteve is indicated for the treatment of endogenous Cushing’s syndrome in adults and adolescents above the age of 12 years.
sipavibart;Immune sera and immunoglobulins;Kavigale is indicated for the pre-exposure prophylaxis of COVID-19 in adults and adolescents 12 years of age and older weighing at least 40 kg and who are immunocompromised due to a medical condition or receipt of immunosuppressive treatments.Kavigale should be used in accordance with official recommendations where available and based on information on the activity of sipavibart against presently circulating viral variants (see sections 4.4 and 5.1).
delamanid;Antimycobacterials;Deltyba is indicated for use as part of an appropriate combination regimen for pulmonary multi-drug resistant tuberculosis (MDR-TB) in adults, adolescents, children and infants with a body weight of at least 10 kg when an effective treatment regimen cannot otherwise be composed for reasons of resistance or tolerability (see sections 4.2, 4.4 and 5.1). Consideration should be given to official guidance on the appropriate use of antibacterial agents.
"clopidogrel;acetylsalicylic acid";Antithrombotic agents;"&nbsp;Clopidogrel/Acetylsalicylic acid Viatris is indicated for the secondary prevention of atherothrombotic events in adult patients already taking both clopidogrel and acetylsalicylic acid (ASA). Clopidogrel/Acetylsalicylic acid Viatris is a fixed-dose combination medicinal product for continuation of therapy in: - Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction) including patients undergoing a stent placement following percutaneous coronary intervention - ST segment elevation acute myocardial infarction in medically treated patients eligible for thrombolytic therapy"
glofitamab;Antineoplastic agents;Columvi in combination with gemcitabine and oxaliplatin is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma not otherwise specified (DLBCL NOS) who are ineligible for autologous stem cell transplant (ASCT).Columvi as monotherapy is indicated for the treatment of adult patients with relapsed or refractory diffuse large B cell lymphoma (DLBCL), after two or more lines of systemic therapy.
epoetin beta;Antianemic preparations;"Treatment of symptomatic anaemia associated with chronic renal failure (CRF) in adult and paediatric patients; treatment of symptomatic anaemia in adult patients with non-myeloid malignancies receiving chemotherapy; increasing the yield of autologous blood from patients in a pre-donation programme. Its use in this indication must be balanced against the reported increased risk of thromboembolic events. Treatment should only be given to patients with moderate anaemia (Hb 10 - 13 g/dl [6.21 - 8.07 mmol/l], no iron deficiency) if blood conserving procedures are not available or insufficient when the scheduled major elective surgery requires a large volume of blood (4 or more units of blood for females or 5 or more units for males)."
hydroxycarbamide;Antineoplastic agents;Siklos is indicated for the prevention of recurrent painful vaso-occlusive crises including acute chest syndrome in paediatric and adult patients suffering from symptomatic sickle-cell syndrome.
hydroxycarbamide;Antineoplastic agents;Xromi is indicated for the prevention of vaso-occlusive complications of Sickle Cell Disease in patients over 9 months of age.
eptifibatide;Antithrombotic agents;Eptifibatide Accord is intended for use with acetylsalicylic acid and unfractionated heparin. Eptifibatide Accord is indicated for the prevention of early myocardial infarction in adults presenting with unstable angina or non-Q-wave myocardial infarction, with the last episode of chest pain occurring within 24 hours and with electrocardiogram (ECG) changes and/or elevated cardiac enzymes. Patients most likely to benefit from Eptifibatide Accord treatment are those at high risk of developing myocardial infarction within the first 3-4 days after onset of acute angina symptoms including for instance those that are likely to undergo an early PTCA (Percutaneous Transluminal Coronary Angioplasty).
levetiracetam;Other antiepileptics;"Levetiracetam Sun is indicated as monotherapy in the treatment of partial-onset seizures with or without secondary generalisation in patients from 16 years of age with newly diagnosed epilepsy. Levetiracetam Sun is indicated as adjunctive therapy:  in the treatment of partial-onset seizures with or without secondary generalisation in adults and children from four years of age with epilepsy; in the treatment of myoclonic seizures in adults and adolescents from 12 years of age with juvenile myoclonic epilepsy; in the treatment of primary generalised tonic-clonic seizures in adults and adolescents from 12 years of age with idiopathic generalised epilepsy.  Levetiracetam Sun concentrate is an alternative for patients when oral administration is temporarily not feasible."
fenfluramine;Antiepileptics;Treatment of seizures associated with Dravet syndrome as an add-on therapy to other antiepileptic medicines for patients 2 years of age and older. Fintepla is indicated for the treatment of seizures associated with Dravet syndrome and Lennox-Gastaut syndrome as an add-on therapy to other anti-epileptic medicines for patients 2 years of age and older.
