Name;Tradename;Disease;Indication;Status;URL;Category
temozolomide;Temozolomide Accord;Glioma;For the treatment of adult patients with newly diagnosed glioblastoma multiforme concomitantly with radiotherapy (RT) and subsequently as monotherapy treatment. For the treatment of children from the age of three years, adolescents and adult patients with malignant glioma, such as glioblastoma multiforme or anaplastic astrocytoma, showing recurrence or progression after standard therapy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/temozolomide-accord;Human
insulin aspart;NovoRapid;Diabetes Mellitus;NovoRapid is indicated for treatment of diabetes mellitus in adults, adolescents and children aged 1 year and above.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/novorapid;Human
omalizumab;Xolair;"Asthma;Urticaria;Rhinitis";"Allergic asthma Xolair is indicated in adults, adolescents and children (6 to &lt;12 years of age). Xolair treatment should only be considered for patients with convincing IgE (immunoglobulin E) mediated asthma. Adults and adolescents (12 years of age and older) Xolair is indicated as add-on therapy to improve asthma control in patients with severe persistent allergic asthma who have a positive skin test or in vitro reactivity to a perennial aeroallergen and who have reduced lung function (FEV1 &lt;80%) as well as frequent daytime symptoms or night-time awakenings and who have had multiple documented severe asthma exacerbations despite daily high-dose inhaled corticosteroids, plus a long-acting inhaled beta2-agonist. Children (6 to &lt;12 years of age) Xolair is indicated as add-on therapy to improve asthma control in patients with severe persistent allergic asthma who have a positive skin test or in vitro reactivity to a perennial aeroallergen and frequent daytime symptoms or night-time awakenings and who have had multiple documented severe asthma exacerbations despite daily high-dose inhaled corticosteroids, plus a long-acting inhaled beta2-agonist. Chronic rhinosinusitis with nasal polyps (CRSwNP) Xolair is indicated as an add-on therapy with intranasal corticosteroids (INC) for the treatment of adults (18 years and above) with severe CRSwNP for whom therapy with INC does not provide adequate disease control. Chronic spontaneous urticaria (CSU) Xolair is indicated as add-on therapy for the treatment of chronic spontaneous urticaria in adult and adolescent (12 years and above) patients with inadequate response to H1 antihistamine treatment.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/xolair;Human
lacosamide;Lacosamide Accord;Epilepsy;Lacosamide Accord is indicated as monotherapy in the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy. Lacosamide Accord is indicated as adjunctive therapy •         in the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy. •         in the treatment of primary generalised tonic-clonic seizures in adults, adolescents and children from 4 years of age with idiopathic generalised epilepsy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/lacosamide-accord;Human
pemetrexed;Pemetrexed medac;"Carcinoma, Non-Small-Cell Lung;Mesothelioma";Malignant pleural mesothelioma Pemetrexed medac in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma. Non-small cell lung cancer Pemetrexed medac in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology. Pemetrexed medac is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. Pemetrexed medac is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/pemetrexed-medac;Human
ibuprofen;Ibuprofen Gen.Orph;Ductus Arteriosus, Patent;Treatment of a haemodynamically significant patent ductus arteriosus in preterm newborn infants less than 34 weeks of gestational age;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/ibuprofen-genorph;Human
human normal immunoglobulin (IVIg);Privigen;"Purpura, Thrombocytopenic, Idiopathic;Bone Marrow Transplantation;Immunologic Deficiency Syndromes;Guillain-Barre Syndrome;Mucocutaneous Lymph Node Syndrome";"Replacement therapy in adults, and children and adolescents (0-18 years) in:  primary immunodeficiency (PID) syndromes with impaired antibody production; hypogammaglobulinaemia and recurrent bacterial infections in patients with chronic lymphocytic leukaemia, in whom prophylactic antibiotics have failed; hypogammaglobulinaemia and recurrent bacterial infections in plateau-phase-multiple-myeloma patients who have failed to respond to pneumococcal immunisation; hypogammaglobulinaemia in patients after allogeneic haematopoietic-stem-cell transplantation (HSCT); congenital AIDS with recurrent bacterial infections.  Immunomodulation in adults, and children and adolescents (0-18 years) in:  primary immune thrombocytopenia (ITP), in patients at high risk of bleeding or prior to surgery to correct the platelet count; Guillain-Barré syndrome; Kawasaki disease; chronic inflammatory demyelinating polyneuropathy (CIDP). Only limited experience is available of use of intravenous immunoglobulins in children with CIDP.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/privigen;Human
follitropin alfa;Ovaleap;Anovulation;"In adult women  Anovulation (including polycystic ovarian syndrome) in women who have been unresponsive to treatment with clomifene citrate; Stimulation of multifollicular development in women undergoing superovulation for assisted reproductive technologies (ART) such as in vitro fertilisation (IVF), gamete intra-fallopian transfer and zygote intra-fallopian transfer; Ovaleap in association with a luteinising hormone (LH) preparation is recommended for the stimulation of follicular development in women with severe LH and FSH deficiency. In clinical trials these patients were defined by an endogenous serum LH level &lt; 1.2 IU/L.  In adult men  Ovaleap is indicated for the stimulation of spermatogenesis in men who have congenital or acquired hypogonadotropic hypogonadism with concomitant human chorionic gonadotropin (hCG) therapy.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/ovaleap;Human
resminostat;Kinselby;"Mycosis Fungoides;Sezary Syndrome";Treatment of patients with advanced stage mycosis fungoides (MF) and Sézary syndrome (SS);Opinion;https://www.ema.europa.eu/en/medicines/human/EPAR/kinselby;Human
"dry aqueous extract of paullinia cupana seed;dry hydroethanolic extract of theobroma cacao seed;liquid ethanolic extract 30 per cent (W/W) of Allium cepa fresh bulb and Citrus limon fresh fruit";Cinainu;Alopecia Areata;Treatment of alopecia areata in children and adolescents.;Application withdrawn;https://www.ema.europa.eu/en/medicines/human/EPAR/cinainu;Human
lacosamide;Lacosamide UCB;Epilepsies, Partial;Lacosamide UCB is indicated as monotherapy and adjunctive therapy in the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/lacosamide-ucb;Human
choriogonadotropin alfa;Ovitrelle;"Anovulation;Reproductive Techniques, Assisted;Infertility, Female";"Ovitrelle is indicated in the treatment of:  women undergoing superovulation prior to assisted reproductive techniques such as in vitro fertilisation (IVF): Ovitrelle is administered to trigger final follicular maturation and luteinisation after stimulation of follicular growth; anovulatory or oligo-ovulatory women: Ovitrelle is administered to trigger ovulation and luteinisation in anovulatory or oligo-ovulatory patients after stimulation of follicular growth.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/ovitrelle;Human
octocog alfa;Advate;Hemophilia A;Treatment and prophylaxis of bleeding in patients with haemophilia A (congenital factor-VIII deficiency). Advate does not contain von Willebrand factor in pharmacologically effective quantities and is therefore not indicated in von Willebrand disease.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/advate;Human
sodium thiosulfate;Pedmarqsi;"Ear Diseases;Ototoxicity";"Pedmarqsi is indicated for the prevention of ototoxicity induced by cisplatin chemotherapy in patients 1 month to &lt; 18 years of age with localised, non-metastatic, solid tumours.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/pedmarqsi;Human
irbesartan;Ifirmasta (previously Irbesartan Krka);Hypertension;Treatment of essential hypertension. Treatment of renal disease in patients with hypertension and type 2 diabetes mellitus as part of an antihypertensive medicinal product regimen.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/ifirmasta;Human
"saxagliptin;metformin hydrochloride";Komboglyze;Diabetes Mellitus, Type 2;Komboglyze is indicated as an adjunct to diet and exercise to improve glycaemic control in adult patients aged 18 years and older with type-2 diabetes mellitus inadequately controlled on their maximally tolerated dose of metformin alone or those already being treated with the combination of saxagliptin and metformin as separate tablets. Komboglyze is also indicated in combination with insulin (i.e. triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in adult patients aged 18 years and older with type-2 diabetes mellitus when insulin and metformin alone do not provide adequate glycaemic control.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/komboglyze;Human
zoledronic acid;Zoledronic Acid Accord;"Hypercalcemia;Fractures, Bone;Cancer";Prevention of skeletal related events (pathological fractures, spinal compression, radiation or surgery to bone, or tumour-induced hypercalcaemia) in adult patients with advanced malignancies involving bone. Treatment of adult patients with tumour-induced hypercalcaemia (TIH).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/zoledronic-acid-accord;Human
teriparatide;Teriparatide Ascend;"Osteoporosis;Osteoporosis, Postmenopausal;Bone Resorption";Treatment of osteoporosis;Application withdrawn;https://www.ema.europa.eu/en/medicines/human/EPAR/teriparatide-ascend;Human
teduglutide;Revestive;Malabsorption Syndromes;Revestive is indicated for the treatment of patients aged 1 year and above with Short Bowel Syndrome (SBS). Patients should be stable following a period of intestinal adaptation after surgery. Revestive is indicated for the treatment of patients aged 1 year and above with Short Bowel Syndrome. Patients should be stable following a period of intestinal adaptation after surgery.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/revestive;Human
neratinib;Nerlynx;Breast Neoplasms;Nerlynx is indicated for the extended adjuvant treatment of adult patients with early stage hormone receptor positive HER2-overexpressed/amplified breast cancer and who are less than one year from the completion of prior adjuvant trastuzumab based therapy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/nerlynx;Human
selexipag;Uptravi;Hypertension, Pulmonary;Uptravi is indicated for the long-term treatment of pulmonary arterial hypertension (PAH) in adult patients with WHO functional class (FC) II–III, either as combination therapy in patients insufficiently controlled with an endothelin receptor antagonist (ERA) and/or a phosphodiesterase type 5 (PDE-5) inhibitor, or as monotherapy in patients who are not candidates for these therapies. Efficacy has been shown in a PAH population including idiopathic and heritable PAH, PAH associated with connective tissue disorders, and PAH associated with corrected simple congenital heart disease.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/uptravi;Human
artesunate;Artesunate Amivas;Malaria;Artesunate Amivas is indicated for the initial treatment of severe malaria in adults and children. Consideration should be given to official guidance on the appropriate use of antimalarial agents.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/artesunate-amivas;Human
bazedoxifene;Conbriza;Osteoporosis, Postmenopausal;"Conbriza is indicated for the treatment of postmenopausal osteoporosis in women at increased risk of fracture. A significant reduction in the incidence of vertebral fractures has been demonstrated; efficacy on hip fractures has not been established. When determining the choice of Conbriza or other therapies, including oestrogens, for an individual postmenopausal woman, consideration should be given to menopausal symptoms, effects on uterine and breast tissues, and cardiovascular risks and benefits.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/conbriza;Human
pegfilgrastim;Pelgraz;;Reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/pelgraz;Human
vernakalant hydrochloride;Brinavess;Atrial Fibrillation;"Rapid conversion of recent onset atrial fibrillation to sinus rhythm in adults:  for non-surgery patients: atrial fibrillation &lt;/= 7 days duration; for post-cardiac surgery patients: atrial fibrillation &lt;/= 3 days duration.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/brinavess;Human
"alogliptin;metformin";Vipdomet;Diabetes Mellitus, Type 2;"Vipdomet is indicated in the treatment of adult patients aged 18 years and older with type-2 diabetes mellitus:  as an adjunct to diet and exercise to improve glycaemic control in adult patients, inadequately controlled on their maximal tolerated dose of metformin alone, or those already being treated with the combination of alogliptin and metformin; in combination with pioglitazone (i.e. triple combination therapy) as an adjunct to diet and exercise in adult patients inadequately controlled on their maximal tolerated dose of metformin and pioglitazone; in combination with insulin (i.e. triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in patients when insulin at a stable dose and metformin alone do not provide adequate glycaemic control.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/vipdomet;Human
abatacept;Orencia;"Arthritis, Psoriatic;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid";Rheumatoid arthritisOrencia, in combination with methotrexate, is indicated for:  the treatment of moderate to severe active rheumatoid arthritis (RA) in adult patients who responded inadequately to previous therapy with one or more disease-modifying anti-rheumatic drugs (DMARDs) including methotrexate (MTX) or a tumour necrosis factor (TNF)-alpha inhibitor. the treatment of highly active and progressive disease in adult patients with rheumatoid arthritis not previously treated with methotrexate.  A reduction in the progression of joint damage and improvement of physical function have been demonstrated during combination treatment with abatacept and methotrexate. Psoriatic arthritis Orencia, alone or in combination with methotrexate (MTX), is indicated for the treatment of active psoriatic arthritis (PsA) in adult patients when the response to previous DMARD therapy including MTX has been inadequate, and for whom additional systemic therapy for psoriatic skin lesions is not required.  Polyarticular juvenile idiopathic arthritis Orencia in combination with methotrexate is indicated for the treatment of moderate to severe active polyarticular juvenile idiopathic arthritis (pJIA) in paediatric patients 2 years of age and older who have had an inadequate response to previous DMARD therapy. Orencia can be given as monotherapy in case of intolerance to methotrexate or when treatment with methotrexate is inappropriate.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/orencia;Human
buprenorphine;Buprenorphine Neuraxpharm;Opioid-Related Disorders;Substitution treatment of opioid drug dependence, within a comprehensive therapeutic monitoring framework of medical, social and psychological treatment. Treatment is intended for use in adults and adolescents 15 years of age and older, who have agreed to be treated for addiction.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/buprenorphine-neuraxpharm;Human
"potassium citrate;potassium hydrogen carbonate";Sibnayal;Acidosis, Renal Tubular;Sibnayal is indicated for the treatment of distal renal tubular acidosis (dRTA) in adults, adolescents and children aged one year and older.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/sibnayal;Human
eliglustat;Cerdelga;Gaucher Disease;"AdultsCerdelga is indicated for the long-term treatment of adult patients with Gaucher disease type 1 (GD1), who are CYP2D6 poor metabolisers (PMs), intermediate metabolisers (IMs) or extensive metabolisers (EMs).Paediatric population (from 6 to &lt; 18 years of age) weighing ≥ 15 kgCerdelga is indicated for paediatric patients with GD1 who are 6 years and older with a minimum body weight of 15 kg, who are stable on enzyme replacement therapy (ERT), and who are CYP2D6 PMs, IMs or EMs.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/cerdelga;Human
bortezomib;Bortezomib Hospira;Multiple Myeloma;Bortezomib Hospira as monotherapy or in combination with pegylated liposomal doxorubicin or dexamethasone is indicated for the treatment of adult patients with progressive multiple myeloma who have received at least 1 prior therapy and who have already undergone or are unsuitable for haematopoietic stem cell transplantation. Bortezomib Hospira in combination with melphalan and prednisone is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib Hospira in combination with dexamethasone, or with dexamethasone and thalidomide, is indicated for the induction treatment of adult patients with previously untreated multiple myeloma who are eligible for high-dose chemotherapy with haematopoietic stem cell transplantation. Bortezomib Hospira in combination with rituximab, cyclophosphamide, doxorubicin and prednisone is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma who are unsuitable for haematopoietic stem cell transplantation.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/bortezomib-hospira;Human
fingolimod;Fingolimod Accord;Multiple Sclerosis, Relapsing-Remitting;Indicated as single disease modifying therapy in highly active relapsing remitting multiple sclerosis for the following groups of adult patients and paediatric patients aged 10 years and older: Patients with highly active disease despite a full and adequate course of treatment with at least one disease modifying therapy or Patients with rapidly evolving severe relapsing remitting multiple sclerosis defined by 2 or more disabling relapses in one year, and with 1 or more Gadolinium enhancing lesions on brain MRI or a significant increase in T2 lesion load as compared to a previous recent MRI.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/fingolimod-accord;Human
human normal immunoglobulin;Deqsiga;"Immunologic Deficiency Syndromes;Purpura, Thrombocytopenic, Idiopathic;Guillain-Barre Syndrome;Mucocutaneous Lymph Node Syndrome;Polyradiculoneuropathy, Chronic Inflammatory Demyelinating";"Replacement therapy in adults, children and adolescents (0 to 18 years) in: - Primary immunodeficiency syndromes (PID) with impaired antibody production.  - Secondary immunodeficiencies (SID) in patients who suffer from severe or recurrent infections, ineffective antimicrobial treatment and either proven specific antibody failure (PSAF)* or serum IgG level of &lt; 4 g/L.*PSAF = failure to mount at least a 2-fold rise in IgG antibody titre to pneumococcal polysaccharide and polypeptide antigen vaccinesImmunomodulation in adults, children and adolescents (0 to 18 years) in: - Primary immune thrombocytopenia (ITP), in patients at high risk of bleeding or prior to surgery to correct the platelet count. - Guillain Barré syndrome. - Kawasaki disease (in conjunction with acetylsalicylic acid; see section 4.2). - Chronic inflammatory demyelinating polyradiculoneuropathy (CIDP). - Multifocal Motor Neuropathy (MMN).";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/deqsiga;Human
riluzole;Riluzole Zentiva;Amyotrophic Lateral Sclerosis;Riluzole Zentiva is indicated to extend life or the time to mechanical ventilation for patients with amyotrophic lateral sclerosis (ALS). Clinical trials have demonstrated that Riluzole Zentiva extends survival for patients with ALS. Survival was defined as patients who were alive, not intubated for mechanical ventilation and tracheotomy-free. There is no evidence that Riluzole Zentiva exerts a therapeutic effect on motor function, lung function, fasciculations, muscle strength and motor symptoms. Riluzole Zentiva has not been shown to be effective in the late stages of ALS. Safety and efficacy of Riluzole Zentiva has only been studied in ALS. Therefore, Riluzole Zentiva should not be used in patients with any other form of motor-neurone disease.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/riluzole-zentiva;Human
imetelstat;Rytelo;"Anemia;Myelodysplastic Syndromes";Treatment of transfusion-dependent anaemia in adults with low- to intermediate-1 risk myelodysplastic syndromes (MDS) who have failed to respond or have lost response to or are ineligible for erythropoiesis-stimulating agents (ESA).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/rytelo;Human
dimethyl fumarate;Dimethyl fumarate Mylan;Multiple Sclerosis;Dimethyl fumarate Mylan is indicated for the treatment of adult and paediatric patients aged 13 years and older with relapsing remitting multiple sclerosis (RRMS).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/dimethyl-fumarate-mylan;Human
fulvestrant;Faslodex;Breast Neoplasms;Faslodex is indicated  as monotherapy for the treatment of estrogen receptor positive, locally advanced or metastatic breast cancer in postmenopausal women:  not previously treated with endocrine therapy, or with disease relapse on or after adjuvant antiestrogen therapy, or disease progression on antiestrogen therapy.   in combination with palbociclib for the treatment of hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer in women who have received prior endocrine therapy.  In pre- or perimenopausal women, the combination treatment with palbociclib should be combined with a luteinizing hormone releasing hormone (LHRH) agonist.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/faslodex;Human
ebola vaccine (Ad26.ZEBOV-GP [recombinant]);Zabdeno;Hemorrhagic Fever, Ebola;Active immunization for prevention of disease caused by Ebola virus (Zaire ebolavirus species) in individuals ? 1 year of age.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/zabdeno;Human
Ebola vaccine (MVA-BN-Filo [recombinant]);Mvabea;Hemorrhagic Fever, Ebola;Active immunization for prevention of disease caused by Ebola virus (Zaire Ebolavirus species) in individuals ? 1 year of age.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/mvabea;Human
clopidogrel;Clopidogrel Krka;"Peripheral Vascular Diseases;Stroke;Myocardial Infarction";Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:  Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-krka;Human
clopidogrel;Zyllt;"Peripheral Vascular Diseases;Stroke;Acute Coronary Syndrome;Myocardial Infarction";Prevention Secondary prevention of atherothrombotic events Clopidogrel is indicated in:  Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease. Adult patients suffering from acute coronary syndrome:  - Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA). - ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.  Prevention of atherothrombotic and thromboembolic events in atrial fibrillation:  - In adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/zyllt;Human
clopidogrel;Clopidogrel Krka d.d. (previously Zopya);"Peripheral Vascular Diseases;Stroke;Myocardial Infarction";Secondary prevention of atherothrombotic events Clopidogrel is indicated in:  Adult patients suffering from myocardial infarction (from a few days until less than 35days), ischaemic stroke (from 7days until less than 6months) or established peripheral arterial disease. Adult patients suffering from acute coronary syndrome: Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA). ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.  Prevention of atherothrombotic and thromboembolic events in atrial fibrillation In adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-krka-dd;Human
clopidogrel;Clopidogrel TAD;"Peripheral Vascular Diseases;Stroke;Myocardial Infarction";Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:  Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-tad;Human
trastuzumab;Kanjinti;"Stomach Neoplasms;Breast Neoplasms";"Metastatic breast cancer Kanjinti is indicated for the treatment of adult patients with HER2 positive metastatic breast cancer (MBC):  as monotherapy for the treatment of those patients who have received at least two chemotherapy regimens for their metastatic disease. Prior chemotherapy must have included at least an anthracycline and a taxane unless patients are unsuitable for these treatments. Hormone-receptor positive patients must also have failed hormonal therapy, unless patients are unsuitable for these treatments. in combination with paclitaxel for the treatment of those patients who have not received chemotherapy for their metastatic disease and for whom an anthracycline is not suitable. in combination with docetaxel for the treatment of those patients who have not received chemotherapy for their metastatic disease. in combination with an aromatase inhibitor for the treatment of postmenopausal patients with hormone-receptor positive MBC, not previously treated with trastuzumab.  Early breast cancer Kanjinti is indicated for the treatment of adult patients with HER2 positive early breast cancer (EBC):  following surgery, chemotherapy (neoadjuvant or adjuvant) and radiotherapy (if applicable). following adjuvant chemotherapy with doxorubicin and cyclophosphamide, in combination with paclitaxel or docetaxel. in combination with adjuvant chemotherapy consisting of docetaxel and carboplatin. in combination with neoadjuvant chemotherapy followed by adjuvant KANJINTI therapy, for locally advanced (including inflammatory) disease or tumours &gt; 2 cm in diameter.  Kanjinti should only be used in patients with metastatic or early breast cancer whose tumours have either HER2 overexpression or HER2 gene amplification as determined by an accurate and validated assay. Metastatic gastric cancer Kanjinti in combination with capecitabine or 5-fluorouracil and cisplatin is indicated for the treatment of adult patients with HER2 positive metastatic adenocarcinoma of the stomach or gastroesophageal junction who have not received prior anti-cancer treatment for their metastatic disease. Kanjinti should only be used in patients with metastatic gastric cancer (MGC) whose tumours have HER2 overexpression as defined by IHC 2+ and a confirmatory SISH or FISH result, or by an IHC 3+ result. Accurate and validated assay methods should be used.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/kanjinti;Human
"telmisartan;hydrochlorothiazide";Actelsar HCT;Essential Hypertension;Treatment of essential hypertension. Actelsar HCT fixed-dose combination (40 mg telmisartan / 12.5 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on telmisartan alone. Actelsar HCT fixed-dose combination (80 mg telmisartan / 12.5 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on telmisartan alone. Actelsar HCT fixed-dose combination (80 mg telmisartan / 25 mg hydrochlorothiazide) is indicated in adults whose blood pressure is not adequately controlled on Actelsar HCT 80 mg / 12.5 mg (80 mg telmisartan / 12.5 mg hydrochlorothiazide) or adults who have been previously stabilised on telmisartan and hydrochlorothiazide given separately.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/actelsar-hct;Human
sodium oxybate;Xyrem;"Cataplexy;Narcolepsy";Treatment of narcolepsy with cataplexy in adult patients.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/xyrem;Human
olanzapine;Olanzapine Teva;"Schizophrenia;Bipolar Disorder";Adults Olanzapine is indicated for the treatment of schizophrenia. Olanzapine is effective in maintaining the clinical improvement during continuation therapy in patients who have shown an initial treatment response. Olanzapine is indicated for the treatment of moderate to severe manic episode. In patients whose manic episode has responded to olanzapine treatment, olanzapine is indicated for the prevention of recurrence in patients with bipolar disorder.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/olanzapine-teva;Human
pomalidomide;Pomalidomide Zentiva;Multiple Myeloma;Treatment of adults with multiple myeloma who have received at least one prior treatment regimen including lenalidomide. Pomalidomide Zentiva in combination with dexamethasone is indicated in the treatment of adult patients with relapsed and refractory multiple myeloma who have received at least two prior treatment regimens, including both lenalidomide and bortezomib, and have demonstrated disease progression on the last therapy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/pomalidomide-zentiva;Human
momelotinib;Omjjara;"Splenomegaly;Myeloproliferative Disorders";Omjjara is indicated for the treatment of disease-related splenomegaly or symptoms in adult patients with moderate to severe anaemia who have primary myelofibrosis, post polycythaemia vera myelofibrosis or post essential thrombocythaemia myelofibrosis and who are Janus Kinase (JAK) inhibitor naïve or have been treated with ruxolitinib.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/omjjara;Human
rotigotine;Neupro;"Restless Legs Syndrome;Parkinson Disease";Parkinson's disease: Neupro is indicated for the treatment of the signs and symptoms of early-stage idiopathic Parkinson's disease as monotherapy (i.e. without levodopa) or in combination with levodopa, i.e. over the course of the disease, through to late stages when the effect of levodopa wears off or becomes inconsistent and fluctuations of the therapeutic effect occur (end of dose or 'on-off' fluctuations). Restless-legs syndrome: Neupro is indicated for the symptomatic treatment of moderate to severe idiopathic restless-legs syndrome in adults.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/neupro;Human
givosiran;Givlaari;Porphyrias, Hepatic;Treatment of acute hepatic porphyria (AHP) in adults and adolescents aged 12 years and older.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/givlaari;Human
tacrolimus;Tacforius;"Liver Transplantation;Kidney Transplantation";Prophylaxis of transplant rejection in adult kidney or liver allograft recipients. Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/tacforius;Human
opicapone;Ongentys;Parkinson Disease;Ongentys is indicated as adjunctive therapy to preparations of levodopa/ DOPA decarboxylase inhibitors (DDCI) in adult patients with Parkinson’s disease and end-of-dose motor fluctuations who cannot be stabilised on those combinations.Ongentys is indicated as adjunctive therapy to preparations of levodopa/ DOPA decarboxylase inhibitors (DDCI) in adult patients with Parkinson’s disease and end-of-dose motor fluctuations who cannot be stabilised on those combinations.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/ongentys;Human
romosozumab;Evenity;Osteoporosis;Evenity is indicated in treatment of severe osteoporosis in postmenopausal women at high risk of fracture.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/evenity;Human
